"","stats.usersrated","stats.numweights","stats.owned","details.name","stats.average","stats.averageweight","details.yearpublished"
"649",540,49,1180,"The Great Brain Robbery",5.54546,1.3061,2000
"650",29,2,75,"Formula C Minus",4.81034,1,2000
"651",1058,76,2266,"Mad Gab",5.01144,1.25,1996
"652",324,21,493,"Space Walk",5.97148,1.4762,1999
"653",480,72,1255,"Regatta",6.26356,2.0833,1967
"654",48,1,68,"Keywood",6.87292,2,1995
"655",98,10,226,"Keytown",6.46684,2.8,2000
"656",103,3,226,"Star Trek Red Alert",6.3835,2.3333,2000
"657",4776,530,8039,"Loot",6.30076,1.3906,1992
"658",135,13,276,"Kings and Castles",6.59444,2.6154,2000
"659",233,25,382,"Ausbrecher AG",6.0894,1.4,1985
"660",71,7,170,"Beim Zeus!",5.14789,2.1429,1997
"661",16,3,42,"Buddel Bande",5.6875,1,1999
"662",28,1,87,"Die Tafelrunde",5.84107,1,2000
"663",47,6,119,"Remmi Demmi",5.7617,1,1999
"664",76,10,120,"Tabloid Teasers",5.92434,1.1,1991
"665",726,91,1501,"Win, Place & Show",6.71985,2.0879,1966
"666",78,7,186,"Letter Head",6.04579,1.5714,2000
"667",51,6,64,"Discretion",6.72549,3,1978
"668",127,10,222,"Dog Eat Dog",5.26417,2.4,1999
"669",137,10,293,"Maxi Bour$e",4.38752,2.3,1987
"670",68,9,97,"Palermo",5.86765,1.8889,1992
"671",739,79,1062,"Tales of the Arabian Nights",7.09216,2.443,1985
"672",643,68,1207,"Focus",6.46077,2.4265,1963
"673",82,8,273,"Terra Turrium",6.04695,2.25,1990
"674",74,10,144,"Löwendynastie",5.98986,1.7,1998
"675",44,3,156,"Megiddo",5.94773,2.3333,1985
"676",467,53,1026,"Yahtzee Deluxe Poker",6.06359,1.3208,1994
"677",133,15,830,"Foil",5.61917,1.5333,1968
"678",351,37,820,"Dragonlance",5.33066,1.9459,1988
"679",190,17,373,"Shanghai Trader",6.53263,2.5882,1986
"680",983,107,1417,"Ace of Aces: Handy Rotary Series",6.99702,1.757,1980
"681",244,26,555,"The Hills Rise Wild!",6.37131,2.6154,2000
"682",17,2,55,"Camlyn's Destiny",5.35882,2,2000
"683",76,11,285,"Crimean War Battles",6.84934,2.8182,1978
"684",30,2,153,"Taipei: China Invades",6.04667,5,2000
"685",218,23,689,"Dragonhunt",5.77,2.5652,1982
"686",664,75,1043,"Thunder Road",6.61009,1.3733,1986
"687",1512,149,2552,"Buffy the Vampire Slayer: The Game",6.63443,1.9866,2000
"688",32,4,85,"West Riding",6.25469,3.5,2000
"689",80,5,142,"Pipeline",5.3225,1.8,1988
"690",39,4,88,"Amoeba",5.99359,2,1975
"691",8073,650,14336,"Rummikub",6.29554,1.7785,1977
"692",108,10,307,"Goosebumps: Terror in the Graveyard Game",5.30185,1.2,1995
"693",1412,147,2221,"Aquarius",5.96247,1.1429,1998
"694",4590,411,7295,"Chrononauts",6.22636,1.8467,2000
"695",343,47,746,"2038: Tycoons of the Asteroid Belt",7.03236,4.0426,1995
"696",33,1,40,"Quacksalbe",6.28788,3,1998
"697",191,14,269,"Axiom",6.93802,3,1988
"698",41,4,165,"La Trel",5.36341,1.75,1994
"699",67056,6448,92508,"Carcassonne",7.43536,1.9386,2000
"700",11826,1218,18130,"Lord of the Rings",6.78475,2.5755,2000
"701",39,4,84,"Hijara",5.75641,1.5,1995
