tconst	averageRating	numVotes
tt10461508	7.0	8
tt1473215	7.9	15
tt0279401	5.8	39
tt1951704	4.7	9
tt0267280	8.6	45
tt4250834	8.2	6
tt0478759	8.3	7
tt0072009	6.7	186
tt0288634	4.1	52
tt1890014	6.1	7
tt0827093	7.0	5
tt0851851	7.7	55418
tt0068330	6.8	46
tt3826834	6.9	902
tt0660199	8.3	87
tt1778498	7.8	5
tt0036714	6.6	141
tt0751470	7.4	296
tt0108421	7.1	315
tt0555113	7.4	120
tt0039690	7.0	5
tt5100674	8.3	13
tt0751553	7.4	295
tt0486328	6.6	9
tt4268614	7.3	40
tt3954632	7.6	5
tt0156966	1.0	9
tt0484821	6.4	28
tt3893282	6.0	10
tt4899558	7.7	16
tt0406375	6.1	85631
tt6977470	6.5	588
tt4696468	8.2	2347
tt4813534	6.6	24
tt0175475	7.2	13
tt1447048	8.2	6
tt0192918	8.3	7
tt2354192	8.4	62
tt0208127	5.9	36
tt0519313	7.6	17
tt0618620	8.4	5
tt3499120	6.1	3930
tt4096160	7.5	6
tt7274494	7.5	165
tt1281262	4.1	14
tt0139498	6.2	126
tt6369298	7.1	70
tt1646474	8.8	70
tt2129782	7.7	153
tt0445079	5.6	10
tt6197712	6.2	9
tt0898292	8.8	18
tt5775472	7.6	7
tt1931363	8.4	5
tt1505941	4.2	21
tt0377227	6.1	30
tt3860862	7.7	84
tt0309073	5.9	8
tt0334343	2.9	10
tt0830161	6.0	105
tt0470051	8.0	5
tt0067973	6.7	6
tt2079571	7.2	1017
tt0052963	6.2	12
tt0048504	7.2	84
tt1887925	8.0	16
tt1612774	5.8	31957
tt3962824	6.8	11
tt1672755	5.3	192
tt1666747	4.9	17
tt7278486	7.3	7
tt0065626	7.2	38
tt0420964	7.5	6
tt0183066	9.5	3305
tt0297858	7.1	27
tt7036226	7.5	12
tt1837860	9.0	5
tt1796744	6.7	27
tt0063272	5.0	286
tt7465180	9.4	93
tt0220828	4.2	20
tt0354566	4.6	14
tt1809340	6.9	24
tt0808438	2.2	150
tt7414644	8.0	243
tt0795170	8.0	197
tt3962984	6.6	832
tt2356314	8.1	139
tt1375183	7.0	6
tt1231994	7.9	74
tt2464206	7.2	111
tt2501468	8.3	6
tt0751117	7.2	2925
tt1960735	4.9	9
tt0597980	7.5	68
tt6277598	3.6	5
tt2170651	7.9	7
tt0824772	4.1	55
tt6390354	4.1	8
tt9395812	9.0	26
tt2428264	6.6	5
tt1930421	6.6	162
tt0530567	7.4	20
tt7307426	7.2	24
tt3187076	7.6	1961
tt2978992	6.0	6
tt0438486	5.5	1234
tt3488680	6.3	7
tt5105734	7.5	52
tt4878714	5.1	63
tt1183212	6.0	9
tt0046930	7.4	428
tt10524978	6.4	7
tt5211954	7.3	10
tt5343598	5.4	9
tt0843332	10.0	6
tt8105958	8.4	1022
tt1848481	6.8	38
tt0286337	7.3	12
tt4260060	3.9	48
tt1179871	6.2	8
tt0947688	7.4	8
tt5489324	7.7	75
tt3113612	7.8	24
tt0200150	7.1	23
tt5650438	7.0	28
tt5097050	7.7	5817
tt8179598	6.9	14
tt0084142	7.5	13
tt4320060	8.3	15
tt0363844	8.6	15
tt1833285	8.1	16557
tt2358925	5.4	29654
tt3209260	8.2	5
tt0064822	8.4	5
tt0572193	8.1	864
tt3092088	5.9	10
tt0477193	7.0	7
tt3728112	8.0	23
tt2597346	7.7	7
tt0603560	6.6	125
tt1342399	7.0	6
tt0230457	7.5	40
tt0995057	6.9	14
tt0707441	8.2	81
tt0345691	1.8	6
tt1518293	6.2	43
tt2097354	4.9	7
tt1765266	7.8	53
tt5537920	8.1	521
tt5778346	7.4	10
tt0650139	8.2	23
tt5337586	7.2	199
tt0246197	7.3	9
tt0382787	7.4	35
tt3283288	8.1	22
tt6058104	7.7	70
tt1723799	2.9	121
tt1501298	8.4	2070
tt7105040	7.0	6
tt2802094	7.8	191
tt1583871	7.7	6
tt5918162	7.6	25
tt8410490	9.0	9
tt1471181	8.1	12
tt0438106	7.1	59
tt1095464	7.8	5
tt0368823	6.2	10
tt0577559	5.0	6
tt6610296	8.7	38
tt8881648	7.0	5
tt0395267	6.8	43
tt1320287	6.6	13
tt6799332	6.4	5
tt1324318	7.1	9
tt3628932	4.7	6
tt7168770	6.0	6
tt6902066	6.8	8
tt0253897	6.4	8
tt4085028	8.2	633
tt6214624	6.4	36
tt0505848	5.6	11
tt0702050	8.5	88
tt0462250	4.7	207
tt5829138	5.8	10
tt0049842	7.5	591
tt10254800	8.6	5
tt3462892	5.6	396
tt1069260	7.2	6
tt0043842	6.3	10
tt1683094	8.9	11681
tt10417586	7.9	139
tt5872258	7.0	7
tt7374504	7.9	20
tt0498953	7.4	18
tt7543056	5.2	13
tt0683337	9.3	67
tt1219822	3.2	770
tt0759164	8.0	254
tt7400166	7.7	1009
tt2757542	4.4	9
tt0758803	6.8	19
tt8637066	7.3	38
tt0147355	5.4	12
tt0119701	6.1	7
tt2948652	7.2	52
tt0354958	4.4	5
tt1062316	8.4	61
tt2251421	6.4	9
tt1233490	6.3	156
tt6610468	6.6	9
tt6381094	8.4	130
tt0040813	6.5	142
tt1556592	7.9	8
tt0086687	7.4	29462
tt1990111	4.6	5
tt5002440	8.2	9
tt0703312	8.2	11
tt1025091	8.1	16
tt2341337	7.9	183
tt0499221	7.0	87
tt2830404	2.1	20
tt0156178	5.3	38
tt5609302	5.6	395
tt2174781	7.9	8
tt0698129	6.9	15
tt0424897	5.3	6
tt2096559	5.5	15
tt4049926	5.9	8
tt0083951	7.7	5047
tt0746765	6.8	12
tt2177141	8.7	16
tt7150060	8.4	698
tt0134598	8.0	6
tt9877872	7.2	8
tt0453327	6.2	10
tt0250824	8.1	1230
tt1112648	6.8	20
tt5633600	5.2	54
tt1258208	4.5	31
tt0971351	7.8	51
tt10483456	7.0	6
tt1142106	4.9	17
tt0092046	8.2	296
tt0128287	6.8	13
tt1039208	7.5	11
tt2645644	7.2	8
tt0523483	5.5	11
tt0865948	6.0	18
tt2274800	7.9	401
tt7767336	6.4	331
tt0195026	5.6	45
tt1241793	7.4	5
tt0055275	4.6	24
tt0478463	7.3	7
tt3955566	7.8	43
tt2092466	7.7	73
tt4199540	5.8	8
tt5946930	8.2	5
tt2189256	7.7	3040
tt0582363	8.3	515
tt0552970	6.4	15
tt2649660	5.7	9
tt0359215	5.6	64
tt6818392	7.1	8
tt4722126	7.8	5
tt9674074	9.1	9
tt1794089	6.2	24
tt0172627	4.9	5134
tt4295090	8.3	12
tt0512859	8.7	1422
tt1842639	7.8	5
tt0056777	8.2	6486
